kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0001GS,Kayu Batu,Eusideroxylon zwageri,PohonDewasa,icon/mature_tree.svg,Vulnerable,40,14,13,Mineral,-,-0.0387557,101.4047707,147.861093982314,0.03537939763,,,,Fahrizal,28/09/2021 14:57,200000,2398.87973,-,Approach 5,media/SRK_1_1.jpg,media/SRK_2_1.jpg,media/SRK_3_1.jpg,media/SRK_4_1.jpg,adopsipohonriau/1
SRK0002GS,Sendok Sendok,Endospermum spp,PohonDewasa,icon/mature_tree.svg,Least Concern,50,15,13,Mineral,-,-0.0386325,101.4045664,52.100179042463,0.03521103678,,,,Effendi,29/09/2021 08:05,200000,1701.55755,-,Approach 5,media/SRK_1_2.jpg,media/SRK_2_2.jpg,media/SRK_3_2.jpg,media/SRK_4_2.jpg,adopsipohonriau/2
SRK0003GS,Sendok Sendok,Endospermum spp,PohonDewasa,icon/mature_tree.svg,Least Concern,40,17,13,Mineral,-,-0.0385649,101.4047144,53.768896474866,0.03537108902,,,,Hermes,29/09/2021 08:13,200000,1243.745079,-,Approach 5,media/SRK_1_3.jpg,media/SRK_2_3.jpg,media/SRK_3_3.jpg,media/SRK_4_3.jpg,adopsipohonriau/3
SRK0004GS,Medang,Alseodaphne sp,PohonMuda,icon/young_tree.svg,Vulnerable,20,10,13,Mineral,-,-0.03866,101.4047267,62.565889044952,0.0353598007,,,,Effendi,29/09/2021 08:23,50000,306.1660707,-,Approach 5,media/SRK_1_4.jpg,media/SRK_2_4.jpg,media/SRK_3_4.jpg,media/SRK_4_4.jpg,adopsipohonriau/4
SRK0005GS,Simpur,Dillenia spp,PohonMuda,icon/young_tree.svg,Least Concern,31,15,13,Mineral,-,-0.038541,101.4047466,67.153028617969,0.03540817322,,,,Hermes,29/09/2021 08:29,50000,1170.31732,-,Approach 5,media/SRK_1_5.jpg,media/SRK_2_5.jpg,media/SRK_3_5.jpg,media/SRK_4_5.jpg,adopsipohonriau/5
SRK0006GS,Petatal,ochanostachys amentacea,PohonMuda,icon/young_tree.svg,Data deficent,20,9,13,Mineral,-,-0.0385102,101.4047774,71.897086108859,0.03544560702,,,,Effendi,29/09/2021 08:35,50000,385.2598966,-,Approach 5,media/SRK_1_6.jpg,media/SRK_2_6.jpg,media/SRK_3_6.jpg,media/SRK_4_6.jpg,adopsipohonriau/6
SRK0007GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,35,12,13,Mineral,-,-0.0385336,101.4048449,76.315705556834,0.03550527959,,,,Hermes,29/09/2021 08:42,50000,715.3731475,-,Approach 5,media/SRK_1_7.jpg,media/SRK_2_7.jpg,media/SRK_3_7.jpg,media/SRK_4_7.jpg,adopsipohonriau/7
SRK0008GS,Meranti,Shorea sp,PohonDewasa,icon/mature_tree.svg,-,50,15,13,Mineral,-,-0.0387782,101.405,37.01677380028,0.03559668055,,,,Effendi,29/09/2021 08:48,200000,2760.297146,-,Approach 5,media/SRK_1_8.jpg,media/SRK_2_8.jpg,media/SRK_3_8.jpg,media/SRK_4_8.jpg,adopsipohonriau/8
SRK0009GS,Sendok Sendok,Endospermum spp,PohonDewasa,icon/mature_tree.svg,Least Concern,43,17,13,Mineral,-,-0.0389147,101.404885,70.602647004733,0.03545266704,,,,Hermes,29/09/2021 08:57,200000,1432.322115,-,Approach 5,media/SRK_1_9.jpg,media/SRK_2_9.jpg,media/SRK_3_9.jpg,media/SRK_4_9.jpg,adopsipohonriau/9
